sports_person_id,name,team_abbr,team_name,position,position_desc,team_id,headshot_url,flag_url,assists,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_on_target,attempt_at_goal_outside_the_penalty_area,attempted_switches_of_play,avg_speed,corners,crosses,crossing_accuracy_rate,defensive_pressures_applied,direct_defensive_pressures_applied,fdcp_top_scorer_rank,forced_turnovers,fouls_against,fouls_for,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,goalkeeper_saves,goals,headed_attempt_at_goal,indirect_red_cards,linebreak_attempted_defensive_line_rate,linebreaks_attempted_defensive_line,number_of_involvements,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,offers_to_receive_total,offsides,own_goals,passes,passing_accuracy_rate,possession,receptions_between_midfield_and_defensive_line,receptions_in_behind,receptions_under_pressure,red_cards,speed_runs,sprints,switches_of_play_rate,total_competition_matches_played,total_competition_minutes_played,total_distance,xg,xg_goal_effiency_rate,yellow_cards
395283,Victor Lindelof,SWE,Sweden,DF,,285023_43970,https://digitalhub.fifa.com/transform/88b96376-9f31-40fd-a0fc-ae12aab484c4/LINDELOF-Victor_395283,https://api.fifa.com/api/v3/picture/flags-sq-3/SWE,0.0,2.0,0.0,2.0,0.0,0.0,1.0,5.72,0.0,0.0,0.0,24.0,10.0,,5.0,3.0,0.0,,,,,2.0,0.0,67.0,3.0,430.0,0.0,3.0,32.0,18.0,17.0,35.0,0.0,0.0,200.0,95.0,,4.0,0.0,24.0,0.0,315.0,101.0,100.0,,,37262.4,0.26,0x,0.0
483966,Benjamin Tahirovic,BIH,Bosnia and Herzegovina,MF,,285023_44037,https://digitalhub.fifa.com/transform/998f85b6-06db-4822-99de-68010b6cdc61/TAHIROVIC-Benjamin_483966,https://api.fifa.com/api/v3/picture/flags-sq-3/BIH,0.0,1.0,0.0,0.0,0.0,1.0,1.0,6.92,1.0,2.0,0.0,84.0,10.0,,11.0,3.0,2.0,,,,,0.0,0.0,0.0,2.0,238.0,5.0,42.0,52.0,69.0,30.0,99.0,0.0,0.0,107.0,85.0,,8.0,2.0,47.0,0.0,429.0,116.0,100.0,,,30616.63,0.01,0x,0.0
371348,Otabek Shukurov,UZB,Uzbekistan,MF,,285023_44005,https://digitalhub.fifa.com/transform/eb1daf2f-c27b-45a4-a574-7ac0abd24061/SHUKUROV-Otabek_371348,https://api.fifa.com/api/v3/picture/flags-sq-3/UZB,0.0,2.0,0.0,0.0,0.0,2.0,3.0,6.72,0.0,1.0,0.0,96.0,12.0,,5.0,2.0,5.0,,,,,0.0,0.0,33.0,3.0,252.0,2.0,59.0,54.0,80.0,35.0,115.0,0.0,0.0,117.0,88.0,,8.0,0.0,56.0,0.0,378.0,85.0,100.0,,,29888.17,0.08,0x,0.0
261367,Michael Boxall,NZL,New Zealand,DF,,285023_43978,https://digitalhub.fifa.com/transform/e4d41670-878d-4717-b07c-84d09a5f6938/BOXALL-Michael_261367,https://api.fifa.com/api/v3/picture/flags-sq-3/NZL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.0,1.0,100.0,21.0,12.0,,4.0,2.0,2.0,,,,,0.0,0.0,0.0,0.0,240.0,0.0,0.0,26.0,9.0,17.0,26.0,0.0,0.0,115.0,90.0,,3.0,0.0,18.0,0.0,181.0,75.0,0.0,,,22180.78,0.0,0x,0.0
398509,Nico Elvedi,SUI,Switzerland,DF,,285023_43971,https://digitalhub.fifa.com/transform/5631cb24-dba7-44dd-ac2c-1c67b14d7649/ELVEDI-Nico_398509,https://api.fifa.com/api/v3/picture/flags-sq-3/SUI,0.0,3.0,0.0,3.0,0.0,0.0,3.0,5.85,0.0,0.0,0.0,27.0,9.0,,6.0,3.0,2.0,,,,,2.0,0.0,50.0,2.0,614.0,1.0,9.0,30.0,19.0,21.0,40.0,0.0,0.0,282.0,92.0,,4.0,0.0,76.0,0.0,434.0,122.0,100.0,,,39382.48,0.3,0x,1.0
405469,Liberato Cacace,NZL,New Zealand,DF,,285023_43978,https://digitalhub.fifa.com/transform/0954fe05-e301-4ec1-a8ad-2aaccc60d8a7/CACACE-Liberato_405469,https://api.fifa.com/api/v3/picture/flags-sq-3/NZL,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.67,2.0,6.0,17.0,59.0,8.0,,9.0,1.0,5.0,,,,,0.0,0.0,25.0,4.0,197.0,31.0,34.0,9.0,13.0,61.0,74.0,0.0,0.0,88.0,85.0,,25.0,1.0,42.0,0.0,350.0,111.0,0.0,,,26344.8,0.02,0x,0.0
405178,Manuel Akanji,SUI,Switzerland,DF,,285023_43971,https://digitalhub.fifa.com/transform/3a90610e-9f70-434a-b8b0-450a1ea81d75/AKANJI-Manuel_405178,https://api.fifa.com/api/v3/picture/flags-sq-3/SUI,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.73,0.0,0.0,0.0,22.0,12.0,,9.0,0.0,2.0,,,,,0.0,0.0,83.0,6.0,666.0,0.0,1.0,47.0,24.0,24.0,48.0,0.0,0.0,318.0,92.0,,3.0,1.0,55.0,0.0,416.0,114.0,100.0,,,38591.71,0.18,0x,0.0
369304,Hakan Calhanoglu,TUR,Türkiye,MF,,285023_43972,https://digitalhub.fifa.com/transform/f192cf34-173f-47b3-9748-981bd3f21275/CALHANOGLU-Hakan_369304,https://api.fifa.com/api/v3/picture/flags-sq-3/TUR,,,,2.0,,9.0,7.0,4.59,,10.0,10.0,28.0,5.0,,11.0,2.0,1.0,,,,,0.0,0.0,60.0,5.0,420.0,8.0,27.0,44.0,53.0,26.0,79.0,0.0,0.0,190.0,90.0,,9.0,2.0,54.0,0.0,319.0,72.0,86.0,,,24004.04,,,0.0
482978,Nikola Vasilj,BIH,Bosnia and Herzegovina,GK,,285023_44037,https://digitalhub.fifa.com/transform/be1c5819-9bc1-4bf3-b677-9172d1be6bea/VASILJ-Nikola_482978,https://api.fifa.com/api/v3/picture/flags-sq-3/BIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,92.0,70.0,8.0,,0.0,0.0,0.0,4.0,279.0,0.0,0.0,18.0,13.0,5.0,18.0,0.0,0.0,155.0,61.0,,0.0,0.0,11.0,0.0,34.0,7.0,0.0,,,22744.03,0.0,0x,0.0
430442,Harry Souttar,AUS,Australia,DF,,285023_43976,https://digitalhub.fifa.com/transform/6777563e-5036-4252-9809-a0cc21d96147/SOUTTAR-Harry_430442,https://api.fifa.com/api/v3/picture/flags-sq-3/AUS,,,,1.0,,0.0,3.0,5.84,,0.0,0.0,15.0,5.0,,2.0,4.0,1.0,,,,,1.0,0.0,17.0,6.0,288.0,2.0,1.0,20.0,15.0,8.0,23.0,0.0,0.0,141.0,85.0,,2.0,0.0,31.0,0.0,266.0,57.0,33.0,,,29854.47,,,1.0
423595,Marko Stamenic,NZL,New Zealand,MF,,285023_43978,https://digitalhub.fifa.com/transform/b0e38724-034f-4d1e-a08a-def455a86569/STAMENIC-Marko_423595,https://api.fifa.com/api/v3/picture/flags-sq-3/NZL,0.0,3.0,0.0,1.0,0.0,2.0,1.0,6.52,0.0,2.0,50.0,67.0,18.0,,10.0,4.0,0.0,,,,,0.0,0.0,44.0,9.0,364.0,6.0,26.0,66.0,66.0,32.0,98.0,0.0,0.0,171.0,91.0,,9.0,0.0,53.0,0.0,415.0,133.0,100.0,,,32898.29,0.09,0x,1.0
